State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
OH,"28,127","3,622",0.59,0.64,"11,419","19,773","1,297","2,459","8,982,588","1,844,642","1,796,518","376,387","81,502","25,092",220%,127%,89%,"12,546",110%,63%,45%,"8,182",72%,41%,29%,"5,433",419%,221%,150%,"2,717",209%,110%,75%,"1,772",137%,72%,49%
OK,"10,781","1,164",0.56,0.63,"4,786","7,783",427,796,"2,939,976","574,330","587,995","122,631","26,410","8,175",171%,105%,76%,"4,088",85%,53%,38%,"2,666",56%,34%,25%,"1,761",412%,221%,151%,880,206%,111%,76%,574,134%,72%,49%
OR,"6,789",837,0.63,0.6,"2,483","4,636",336,587,"3,160,871","655,089","632,174","132,560","28,734","8,837",356%,191%,130%,"4,419",178%,95%,65%,"2,882",116%,62%,42%,"1,916",570%,326%,229%,958,285%,163%,114%,625,186%,106%,75%
PA,"32,817","3,643",0.64,0.61,"11,721","22,269","1,427","2,535","10,101,588","2,181,022","2,020,318","425,300","92,617","28,353",242%,127%,86%,"14,177",121%,64%,43%,"9,246",79%,42%,28%,"6,174",433%,244%,169%,"3,087",216%,122%,85%,"2,013",141%,79%,55%
PR,"7,769",739,0.57,0.64,"3,355","5,562",262,501,"2,737,636","629,621","547,527","115,993","25,448","7,733",230%,139%,100%,"3,866",115%,70%,50%,"2,522",75%,45%,32%,"1,697",648%,339%,230%,848,324%,169%,115%,553,211%,110%,75%
RI,"2,117",279,0.7,0.72,644,"1,381",77,178,"845,556","170,144","169,111","35,364","7,640","2,358",366%,171%,111%,"1,179",183%,85%,56%,769,119%,56%,36%,509,661%,286%,182%,255,331%,143%,91%,166,216%,93%,59%
SC,"11,457","1,459",0.65,0.68,"4,066","7,762",469,964,"3,802,489","795,256","760,498","159,604","34,631","10,640",262%,137%,93%,"5,320",131%,69%,46%,"3,470",85%,45%,30%,"2,309",492%,240%,158%,"1,154",246%,120%,79%,753,161%,78%,52%
SD,"4,247",150,0.61,0.5,"1,663","2,955",75,112,"644,483","132,118","128,897","27,001","5,846","1,800",108%,61%,42%,900,54%,30%,21%,587,35%,20%,14%,390,520%,348%,260%,195,260%,174%,130%,127,169%,113%,85%
TN,"18,401","2,309",0.63,0.74,"6,723","12,562",603,"1,456","5,099,734","1,013,356","1,019,947","213,044","45,966","14,203",211%,113%,77%,"7,101",106%,57%,39%,"4,631",69%,37%,25%,"3,064",508%,210%,133%,"1,532",254%,105%,66%,999,166%,69%,43%
TX,"55,588","7,149",0.61,0.64,"21,803","38,695","2,573","4,861","20,206,495","3,215,906","4,041,299","828,949","174,914","55,263",253%,143%,99%,"27,632",127%,71%,50%,"18,021",83%,47%,32%,"11,661",453%,240%,163%,"5,830",227%,120%,82%,"3,802",148%,78%,53%
UT,"4,869",687,0.57,0.52,"2,116","3,493",328,507,"2,082,530","307,095","416,506","84,971","17,807","5,665",268%,162%,116%,"2,832",134%,81%,58%,"1,847",87%,53%,38%,"1,187",362%,234%,173%,594,181%,117%,86%,387,118%,76%,56%
VA,"17,469","2,007",0.69,0.65,"5,373","11,421",698,"1,353","6,499,678","1,187,867","1,299,936","269,557","57,648","17,970",334%,157%,103%,"8,985",167%,79%,51%,"5,860",109%,51%,34%,"3,843",551%,284%,191%,"1,922",275%,142%,96%,"1,253",180%,93%,62%
VT,"1,305",94,0.64,0.45,475,890,52,73,"504,856","109,551","100,971","21,266","4,634","1,418",299%,159%,109%,709,149%,80%,54%,462,97%,52%,35%,309,594%,423%,329%,154,296%,211%,164%,101,194%,138%,107%
WA,"11,808","1,493",0.65,0.65,"4,123","7,966",525,"1,009","5,554,591","1,029,040","1,110,918","230,626","49,391","15,375",373%,193%,130%,"7,688",186%,97%,65%,"5,014",122%,63%,42%,"3,293",627%,326%,221%,"1,646",314%,163%,110%,"1,074",205%,106%,72%
WI,"11,669","1,506",0.58,0.55,"4,850","8,260",676,"1,091","4,469,267","896,724","893,853","186,870","40,361","12,458",257%,151%,107%,"6,229",128%,75%,53%,"4,062",84%,49%,35%,"2,691",398%,247%,179%,"1,345",199%,123%,89%,877,130%,80%,58%
WV,"6,224",643,0.6,0.65,"2,466","4,345",223,433,"1,459,974","336,326","291,995","61,869","13,576","4,125",167%,95%,66%,"2,062",84%,47%,33%,"1,345",55%,31%,22%,905,406%,209%,141%,453,203%,105%,70%,295,132%,68%,46%
WY,"1,951",102,0.52,0.36,931,"1,441",65,84,"444,842","84,239","88,968","18,504","3,972","1,234",133%,86%,63%,617,66%,43%,32%,402,43%,28%,21%,265,408%,315%,260%,132,203%,157%,129%,86,132%,102%,84%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Based on a 50% reduction in occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
